BEHIPA_ID;BEZEICHNUNG;BEMERKUNG;ANZAHL;POLIZEI;STANDORT;PLZ;ORTSTEIL;GPS_LAT;GPS_LON;LETZTE_AENDERUNG;GPS_KOORDINATEN;KATEGORIE;LINK
2101;2 Behindertenparkplätze;Durchgehend;2;51;Warschauer Platz U-Bahnhof;10245;Friedrichshain;52.50498254;13.44949084;18.09.2020;52.50498254, 13.44949084;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2102;1 Behindertenparkplatz;Mo-Fr 9-18h, Sa 9 -14h;1;53;Wiener Straße 17 / 18;10999;Kreuzberg;52.49777491;13.43066834;18.09.2020;52.49777491, 13.43066834;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2103;3 Behindertenparkplätze;Durchgehend;3;53;Wiener Straße 59 h (Spreewaldplatz);10999;Kreuzberg;52.49728766;13.43241785;18.09.2020;52.49728766, 13.43241785;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2104;1 Behindertenparkplatz;Mo-Fr 9-16h;1;53;Wilhelmstraße 115;10963;Kreuzberg;52.50457757;13.38691896;18.09.2020;52.50457757, 13.38691896;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2105;1 Behindertenparkplatz;Mo-Fr 8-18h;1;53;Wilhelmstraße 139;10963;Kreuzberg;52.50065752;13.38861825;18.09.2020;52.50065752, 13.38861825;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2106;3 Behindertenparkplätze;Mo-Fr 7-20h;3;53;Wrangelstraße 30/31;10997;Kreuzberg;52.50183923;13.43389963;18.09.2020;52.50183923, 13.43389963;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2107;2 Behindertenparkplätze;während der Öffnungszeiten Bezirksamtes;2;52;Yorckstraße 4 - 11 (auf dem Hof);10965;Kreuzberg;52.49399707;13.38551423;18.09.2020;52.49399707, 13.38551423;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2108;2 Behindertenparkplätze;Mo-Fr 8-17h;2;52;Zossener Straße 24;10961;Kreuzberg;52.48972418;13.39382736;18.09.2020;52.48972418, 13.39382736;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2109;1 Behindertenparkplatz;Durchgehend;1;53;Görlitzer Park;10997;Kreuzberg;52.49801707;13.43582023;18.09.2020;52.49801707, 13.43582023;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2110;1 Behindertenparkplatz;Mo-Fr 7.30-19.30h;1;53;Markgrafenstraße 19;10969;Kreuzberg;52.50667109;13.39449314;18.09.2020;52.50667109, 13.39449314;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2111;1 Behindertenparkplatz;Mo,Di,Do,Fr 8-14h, Mi 14-18h;1;53;Dresdener Straße 20;10999;Kreuzberg;52.50162511;13.41657089;18.09.2020;52.50162511, 13.41657089;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2112;2 Behindertenparkplätze;Mo-So 9-20h;2;53;Markgrafenstraße 87;10969;Kreuzberg;52.50335605;13.39486158;18.09.2020;52.50335605, 13.39486158;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2113;1 Behindertenparkplatz;Mo-Fr 10-17h;1;53;Admiralstraße (vor) 1;10999;Kreuzberg;52.49825599;13.41705240;18.09.2020;52.49825599, 13.41705240;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2114;2 Behindertenaprkplätze;Durchgehend;2;51;Frankfurter Allee 14a (Bibliothek);10243;Friedrichshain;52.51487255;13.45737230;18.09.2020;52.51487255, 13.45737230;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
